frame,timestamp,left_vel,right_vel,img_path,rel_x,rel_y,rel_theta,action_id
0,1745918234.8985634,0.0,0.0,frame_0000.jpg,0.0,0.0,359.9999692641487,864
1,1745918235.2987046,0.0007913671894392689,0.01661871097822465,frame_0001.jpg,0.00207528228606006,2.5817979663801715e-05,1.249470410532524,864
2,1745918235.6988065,0.014244609409906841,0.10446046900598349,frame_0002.jpg,0.015472411935375012,0.0012861923071399613,8.817694817537358,865
3,1745918236.0988178,0.0,0.0,frame_0003.jpg,0.02764162868708331,0.0039071917506765825,14.530290869512214,867
4,1745918236.498697,0.039568359471963445,0.039568359471963445,frame_0004.jpg,0.03494437282616226,0.0057941220758854104,14.500443903334599,867
5,1745918236.8988073,0.04985613293467394,0.026115117251495873,frame_0005.jpg,0.051084864369651484,0.00979196659104969,12.695953921672412,866
6,1745918237.2990386,0.009496406273271227,0.06726621110233785,frame_0006.jpg,0.06607130165201955,0.013164514085032601,15.469571880766807,867
7,1745918237.698721,0.09100722678551593,0.026906484440935144,frame_0007.jpg,0.085183377871455,0.018946037364071737,14.874822633359713,867
8,1745918238.0987327,0.11870507841589034,0.04115109385084199,frame_0008.jpg,0.1128496832177852,0.023632752615190593,5.003826468028933,865
9,1745918238.498703,0.004748203136635614,0.048273398555795405,frame_0009.jpg,0.13466926578838537,0.024560935613498744,3.3090917566350413,864
10,1745918238.898721,0.02215828130429953,0.15431660194065744,frame_0010.jpg,0.15699494567040156,0.028430062117535456,15.473556469054301,867
11,1745918239.2987785,0.15669070350897524,0.020575546925420993,frame_0011.jpg,0.19095141915827465,0.040594978318134994,15.622764589500377,867
12,1745918239.6982207,0.12187054717364741,0.035611523524767104,frame_0012.jpg,0.2237631876268046,0.04489351674139538,0.32133649478697635,864
13,1745918240.098691,0.05302160169243102,0.07913671894392689,frame_0013.jpg,0.25427593266400905,0.04351877920412995,357.4460163919611,935
14,1745918240.4987314,0.0,0.019784179735981722,frame_0014.jpg,0.27097535313093574,0.04316201378329673,1.0665186709718455,864
15,1745918240.8987322,0.08467628927000177,0.0815108205122447,frame_0015.jpg,0.2873646026112406,0.04378625668675265,2.3590465940321224,864
16,1745918241.2988627,0.0,0.13690652377299353,frame_0016.jpg,0.3181287415653243,0.046476751518997224,12.232480976814031,938
17,1745918241.6987314,0.019784179735981722,0.0,frame_0017.jpg,0.3335913324455117,0.051342209681209255,19.24807968727157,939
18,1745918242.0989015,0.1630216410244894,0.0,frame_0018.jpg,0.3496597774923055,0.05495843478909189,6.451705336213877,937
19,1745918242.4986365,0.06726621110233785,0.025323750062056605,frame_0019.jpg,0.37696246029152514,0.05426067009009166,352.40666184119067,1006
20,1745918242.898963,0.03798562509308491,0.0,frame_0020.jpg,0.39126390225492114,0.051736449717399914,346.564568817647,1005
21,1745918243.2987669,0.049064765745234676,0.049064765745234676,frame_0021.jpg,0.4048842450004268,0.0479092139143606,343.89363700309184,1004
22,1745918243.6987658,0.009496406273271227,0.010287773462710497,frame_0022.jpg,0.41682619262832854,0.04446918705372009,343.92116266544696,1004
23,1745918244.0988004,0.0015827343788785378,0.07676261737560909,frame_0023.jpg,0.42540688704982155,0.042387494845609996,349.7829659073881,1006
24,1745918244.4986925,0.002374101568317807,0.0,frame_0024.jpg,0.4346592337084422,0.04113668446876255,354.2383375765751,1006
25,1745918244.8995821,0.0,0.0,frame_0025.jpg,0.4350620763985462,0.04109522165380561,354.07130359287515,1006
26,1745918245.2989788,0.0,0.0,frame_0026.jpg,0.4354650190605224,0.04105474453851281,354.4256299013533,1006
27,1745918245.6987364,0.05302160169243102,0.007122304704953421,frame_0027.jpg,0.4408830759659054,0.040330197274256824,350.93648069781835,1006
28,1745918246.098778,0.04985613293467394,0.05064750012411321,frame_0028.jpg,0.45611986845309954,0.03727830929873209,348.24767769329986,1005
29,1745918246.4986925,0.0039568359471963445,0.0,frame_0029.jpg,0.4673209448705063,0.03495040472716081,347.82920224813694,1005
30,1745918246.8986728,0.03086332038813149,0.13057558625747936,frame_0030.jpg,0.4824754010020209,0.032652431573866714,355.45955320205854,1007
31,1745918247.2987273,0.002374101568317807,0.009496406273271227,frame_0031.jpg,0.5015433076709606,0.03239451828442515,2.7804820724266506,936
