frame,timestamp,left_vel,right_vel,img_path,rel_x,rel_y,rel_theta,action_id
0,1745838570.747775,0.0,0.0,frame_0000.jpg,2.0487717204817874e-15,-8.29748457164236e-11,0.001755358616662761,504
1,1745838571.1522286,0.11000003933205837,0.05143886731355248,frame_0001.jpg,0.01633306084781747,-0.0006719785798212042,355.25244479095085,575
2,1745838571.547752,0.015035976599346109,0.1400719925307506,frame_0002.jpg,0.04828470388689809,-0.003462437174924964,0.9294794630120009,504
3,1745838571.947723,0.060935273586823706,0.040359726661402716,frame_0003.jpg,0.07435012867696156,-0.0010189238855104685,6.560376207229751,505
4,1745838572.347768,0.06251800796570224,0.013453242220467572,frame_0004.jpg,0.09313263602194045,0.0005771831234678247,1.8557897182491843,864
5,1745838572.7477927,0.09496406273271227,0.0031654687577570757,frame_0005.jpg,0.1110472688969082,-0.00042649278162814816,351.4566969333105,574
6,1745838573.1470807,0.05064750012411321,0.024532382872617338,frame_0006.jpg,0.12806325990962453,-0.0044164784033617135,343.790683854185,572
7,1745838573.5477397,0.16143890664561086,0.018992812546542455,frame_0007.jpg,0.15252951689479835,-0.014483586538867225,330.59416415126253,570
8,1745838573.9497936,0.073597148617852,0.0039568359471963445,frame_0008.jpg,0.17301057326382116,-0.029806213344014818,316.2766738017576,567
9,1745838574.347834,0.028489218819813682,0.08625902364888031,frame_0009.jpg,0.18646233704167622,-0.043869666402822256,315.1854349686322,567
10,1745838574.7478492,0.006330937515514151,0.0,frame_0010.jpg,0.1947199295595259,-0.05156478571656167,317.6792189968739,567
11,1745838575.1478164,0.01661871097822465,0.0,frame_0011.jpg,0.196281956353488,-0.05304405289272824,315.7769703318903,567
12,1745838575.547998,0.0,0.0,frame_0012.jpg,0.19723550158764372,-0.05398758510799025,314.9872023883509,567
13,1745838575.9478114,0.004748203136635614,0.0332374219564493,frame_0013.jpg,0.20052048787894064,-0.05714402691187414,317.13628042956043,567
14,1745838576.3479347,0.05302160169243102,0.007122304704953421,frame_0014.jpg,0.20807336131031515,-0.0641843775318795,315.03943967512316,567
15,1745838576.7478278,0.09496406273271227,0.06726621110233785,frame_0015.jpg,0.2225007705264759,-0.08013861895568022,310.4443172128758,566
16,1745838577.1537948,0.0,0.0,frame_0016.jpg,0.2328013063477442,-0.0925087779841878,309.39893285474324,565
17,1745838577.5479383,0.0,0.0,frame_0017.jpg,0.23297835417075924,-0.09272365085012493,309.54588095964147,566
18,1745838577.9478278,0.0,0.0,frame_0018.jpg,0.23297835417075924,-0.09272365085012493,309.544617374645,566
19,1745838578.3478186,0.019784179735981722,0.0,frame_0019.jpg,0.23407241285151617,-0.09408488542276315,308.21041846745845,565
20,1745838578.7477229,0.12266191436308668,0.01661871097822465,frame_0020.jpg,0.24274239622239896,-0.10744823027389604,298.1985154461895,563
21,1745838579.147917,0.019784179735981722,0.019784179735981722,frame_0021.jpg,0.2504814672530573,-0.12421561299290926,292.6807129742489,562
22,1745838579.5478644,0.0,0.0007913671894392689,frame_0022.jpg,0.2519866725685266,-0.12781110398601153,292.8109134553022,562
23,1745838579.947834,0.0,0.038776992282524174,frame_0023.jpg,0.25335318236858206,-0.1308318293781829,295.52999468841136,563
24,1745838580.349702,0.020575546925420993,0.11395687527925473,frame_0024.jpg,0.26255621536703205,-0.1460047169033893,305.65849245390706,565
25,1745838580.7480543,0.023741015683178067,0.13848925815187207,frame_0025.jpg,0.2832196430557121,-0.16794468011201996,320.38699968200126,568
26,1745838581.1477952,0.002374101568317807,0.0,frame_0026.jpg,0.2953353542464625,-0.17679473623788142,325.90021226681966,569
27,1745838581.5478742,0.013453242220467572,0.1321583206363579,frame_0027.jpg,0.30866970050416265,-0.18423769724713432,335.0978474559964,643
28,1745838581.9479208,0.05539570326074882,0.06251800796570224,frame_0028.jpg,0.33241101995374034,-0.19273744348971505,342.3184980502912,644
29,1745838582.3478453,0.11949644560532961,0.0,frame_0029.jpg,0.35489974251239037,-0.20115154689336542,333.1390038435501,642
30,1745838582.7477946,0.07043167986009494,0.06805757829177712,frame_0030.jpg,0.37721919407635685,-0.21532179631417836,326.2961719933836,641
31,1745838583.1471317,0.07122304704953421,0.07992808613336616,frame_0031.jpg,0.40141585263972235,-0.23131742230724606,327.0122558561569,641
