frame,timestamp,left_vel,right_vel,img_path,rel_x,rel_y,rel_theta,action_id
0,1746167279.030627,0.0,0.0,frame_0000.jpg,0.0,0.0,359.9987978867061,864
1,1746167279.4301531,0.10604320338486203,0.009496406273271227,frame_0001.jpg,0.013763331713077429,-0.0011174085760027913,351.14516517507707,574
2,1746167279.8301468,0.049064765745234676,0.011870507841589033,frame_0002.jpg,0.030460363278063715,-0.005020381076731005,342.8374353328613,572
3,1746167280.2302558,0.1495683988040218,0.009496406273271227,frame_0003.jpg,0.050846917515342316,-0.01403337732048059,328.98512526206383,569
4,1746167280.6301527,0.09575542992215154,0.0815108205122447,frame_0004.jpg,0.07813465382260647,-0.03438640534722655,321.00415166974153,568
5,1746167281.0301104,0.028489218819813682,0.007913671894392689,frame_0005.jpg,0.09387662015577555,-0.047439702654556715,318.6157677056769,567
6,1746167281.4309566,0.0039568359471963445,0.07517988299673055,frame_0006.jpg,0.10346595666624486,-0.05533325607762758,324.0739836072983,568
7,1746167281.8301706,0.01661871097822465,0.10287773462710496,frame_0007.jpg,0.12129826984821794,-0.0655916774615809,335.0817999265414,571
8,1746167282.23024,0.040359726661402716,0.11553960965813326,frame_0008.jpg,0.14797531383598972,-0.07468137662862395,345.84311471863873,573
9,1746167282.6303778,0.0039568359471963445,0.011870507841589033,frame_0009.jpg,0.1644522734428046,-0.07796853879472401,351.20186940556647,574
10,1746167283.03018,0.0,0.024532382872617338,frame_0010.jpg,0.16783746984258285,-0.07843158227622017,353.5653675753902,574
11,1746167283.4309692,0.019784179735981722,0.018201445357103184,frame_0011.jpg,0.17429196832295663,-0.07899612592668437,355.4905042042825,575
12,1746167283.8306334,0.04352519541915979,0.07517988299673055,frame_0012.jpg,0.1910911938542048,-0.08001477909571683,358.06991148395946,575
13,1746167284.2302449,0.10920867214261912,0.010287773462710497,frame_0013.jpg,0.2151857585832054,-0.08130404931150004,351.2501246920526,574
14,1746167284.6301816,0.0,0.0,frame_0014.jpg,0.22595514796289434,-0.08344993337147369,346.3393347920294,573
15,1746167285.03014,0.06489210953402005,0.05381296888187029,frame_0015.jpg,0.2389440456561197,-0.0868018409452806,344.8945107259507,573
16,1746167285.43011,0.02928058600925295,-0.005539570326074882,frame_0016.jpg,0.2520104694167722,-0.09053823980859702,341.34969377313286,572
17,1746167285.8301115,0.0664748439128986,0.026906484440935144,frame_0017.jpg,0.26342018020187197,-0.09525849023210628,335.4753383510446,571
18,1746167286.2301574,0.014244609409906841,0.0031654687577570757,frame_0018.jpg,0.27329943721113714,-0.10011639450603321,332.1813976615359,570
19,1746167286.6300652,0.0458992969874776,0.07122304704953421,frame_0019.jpg,0.2876004723551449,-0.10744879639397537,333.93613814610933,570
20,1746167287.0316398,0.026906484440935144,0.052230234502991746,frame_0020.jpg,0.3032799590663167,-0.11460300165024466,337.10584793989926,643
21,1746167287.4301863,0.0007913671894392689,0.0,frame_0021.jpg,0.3114036576157487,-0.11787318442785943,338.79395309893,643
22,1746167287.8301034,0.011870507841589033,0.0664748439128986,frame_0022.jpg,0.3201218562418,-0.12084513202878279,343.21774709603676,644
23,1746167288.2302027,0.017410078167663916,0.07834535175448762,frame_0023.jpg,0.33791363274585623,-0.12471433623912707,351.5732267907401,646
24,1746167288.632311,0.026906484440935144,0.06805757829177712,frame_0024.jpg,0.35687620664086966,-0.12622497056142043,358.8801153534955,647
25,1746167289.0301492,0.06330937515514151,0.03402878914588856,frame_0025.jpg,0.3769466950588807,-0.12624080779150643,358.8908729014383,647
26,1746167289.430116,0.12503601593140448,0.03086332038813149,frame_0026.jpg,0.40388576780514784,-0.12889263057683176,348.3359288600183,645
27,1746167289.8300946,0.08230218770168397,0.03482015633532783,frame_0027.jpg,0.42817957950129026,-0.13573979228899113,340.650541949312,644
28,1746167290.23022,0.010287773462710497,0.08071945332280543,frame_0028.jpg,0.4509910295401342,-0.14445468408187068,342.4665594760242,644
29,1746167290.6301382,0.0015827343788785378,0.03640289071420637,frame_0029.jpg,0.4639330393999321,-0.14775321775758127,349.2646501720325,645
30,1746167291.030164,0.013453242220467572,0.026115117251495873,frame_0030.jpg,0.47213352578300427,-0.1490418810866546,352.1605889084153,646
31,1746167291.429631,0.0007913671894392689,0.0,frame_0031.jpg,0.4754459941304755,-0.1494775481371829,352.58218916512357,646
